Calories,Protein,Fat,Carbs,Fibre,Condition,IF,AND,OR,"Note: Protein, Fat, Carbs, Fibre, are measured in grams"
73,2,,16,0.4,FALSE,Healthy,Bad,,
129,3,,29,0.1,FALSE,Not Healthy,Bad,,
45,1,1,7,0.2,FALSE,Healthy,Bad,,
206,2,4,39,1.8,TRUE,Not Healthy,Bad,,
296,2,14,43,2,TRUE,Not Healthy,Bad,,
411,4,19,58,2.3,TRUE,Not Healthy,Bad,,
196,3,6,33,0.7,TRUE,Not Healthy,Bad,,
231,3,12,29,0.6,TRUE,Not Healthy,Bad,,
186,3,8,25,0.7,TRUE,Not Healthy,Bad,,
97,2,4,14,0.4,FALSE,Healthy,Bad,,
212,4,10,27,0.9,TRUE,Not Healthy,Bad,,
93,2,4,13,0.4,FALSE,Healthy,Bad,,
232,2,8,39,1.3,TRUE,Not Healthy,Bad,,
162,6,5,24,0.9,TRUE,Not Healthy,Good,,
197,3,5,33,2.4,TRUE,Not Healthy,Bad,,
138,2,6,22,0.7,TRUE,Not Healthy,Bad,,
168,2,10,18,0.8,TRUE,Healthy,Bad,,
248,2,14,29,0.7,TRUE,Not Healthy,Bad,,
542,5,28,70,1.5,TRUE,Not Healthy,Bad,,
135,2,3,26,1.2,TRUE,Not Healthy,Bad,,
321,6,23,26,0.4,TRUE,Not Healthy,Good,,
407,8,19,53,2.8,TRUE,Not Healthy,Good,,
459,11,23,55,0.8,TRUE,Not Healthy,Good,,
325,3,14,50,1,TRUE,Not Healthy,Bad,,
98,1,5,13,0.6,FALSE,Healthy,Bad,,
156,2,9,19,0.9,TRUE,Healthy,Bad,,
118,1,5,16,0.4,FALSE,Healthy,Bad,,
129,1,4,21,0.6,FALSE,Not Healthy,Bad,,
344,3,22,38,2.3,TRUE,Not Healthy,Bad,,
93,1,4,14,0.6,FALSE,Healthy,Bad,,
362,4,13,61,2,TRUE,Not Healthy,Bad,,
282,3,10,48,2,TRUE,Not Healthy,Bad,,
408,4,16,67,1.9,TRUE,Not Healthy,Bad,,
191,1,11,24,0.8,TRUE,Not Healthy,Bad,,
194,2,6,35,0.9,TRUE,Not Healthy,Bad,,
237,4,13,26,1.1,TRUE,Not Healthy,Bad,,
142,2,4,24,0.5,TRUE,Not Healthy,Bad,,
231,5,12,26,1.5,TRUE,Not Healthy,Bad,,
262,5,15,29,0.8,TRUE,Not Healthy,Bad,,
263,4,13,34,1.3,TRUE,Not Healthy,Bad,,
226,3,8,37,2.3,TRUE,Not Healthy,Bad,,
198,2,11,23,0.7,TRUE,Not Healthy,Bad,,
270,3,18,27,1.1,TRUE,Not Healthy,Bad,,
242,4,14,27,0.7,TRUE,Not Healthy,Bad,,
289,5,16,33,0.8,TRUE,Not Healthy,Bad,,
262,6,16,24,0.6,TRUE,Not Healthy,Good,,
111,1,2,23,1.5,FALSE,Not Healthy,Bad,,
404,4,21,55,3.3,TRUE,Not Healthy,Bad,,
139,1,4,26,1.6,TRUE,Not Healthy,Bad,,
58,1,1,11,0.3,FALSE,Healthy,Bad,,
212,3,7,35,0.8,TRUE,Not Healthy,Bad,,
59,1,1,11,0.4,FALSE,Healthy,Bad,,
105,2,4,17,1.1,FALSE,Healthy,Bad,,
118,3,5,16,1.3,FALSE,Healthy,Bad,,
109,1,3,20,1,FALSE,Healthy,Bad,,
127,2,6,18,1.6,FALSE,Healthy,Bad,,
188,4,12,20,1,TRUE,Healthy,Bad,,
124,2,5,19,1.3,FALSE,Healthy,Bad,,
303,2,10,53,1.4,TRUE,Not Healthy,Bad,,
477,4,18,79,4.3,TRUE,Not Healthy,Bad,,
129,2,4,22,0.3,FALSE,Not Healthy,Bad,,
178,2,6,30,0.6,TRUE,Not Healthy,Bad,,
199,4,8,32,3.7,TRUE,Not Healthy,Bad,,
344,7,14,49,1.9,TRUE,Not Healthy,Good,,
366,8,14,53,2.4,TRUE,Not Healthy,Good,,
313,6,7,54,2.9,TRUE,Not Healthy,Good,,
162,4,6,23,0.9,TRUE,Not Healthy,Bad,,
117,2,5,18,0.7,FALSE,Healthy,Bad,,
134,2,5,20,0.7,FALSE,Healthy,Bad,,
134,2,6,18,0.5,FALSE,Healthy,Bad,,
190,4,10,24,1.5,TRUE,Not Healthy,Bad,,
452,5,21,65,4,TRUE,Not Healthy,Bad,,
391,5,23,42,0.4,TRUE,Not Healthy,Bad,,
229,4,10,30,2.9,TRUE,Not Healthy,Bad,,
91,1,2,18,0.1,FALSE,Healthy,Bad,,
80,1,4,10,0.3,FALSE,Healthy,Bad,,
185,2,12,19,0.5,TRUE,Healthy,Bad,,
234,5,8,34,1,TRUE,Not Healthy,Bad,,
72,1,1,15,0.1,FALSE,Healthy,Bad,,
187,5,3,36,0.2,TRUE,Not Healthy,Bad,,
143,2,6,20,0.2,TRUE,Healthy,Bad,,
142,2,4,25,0.4,TRUE,Not Healthy,Bad,,
407,3,31,31,0.5,TRUE,Not Healthy,Bad,,
206,3,7,34,0.5,TRUE,Not Healthy,Bad,,
215,2,6,39,0.4,TRUE,Not Healthy,Bad,,
57,1,2,9,0.2,FALSE,Healthy,Bad,,
363,3,10,66,0.9,TRUE,Not Healthy,Bad,,
283,2,8,52,1,TRUE,Not Healthy,Bad,,
371,3,9,70,0.3,TRUE,Not Healthy,Bad,,
363,4,11,64,0.9,TRUE,Not Healthy,Bad,,
210,1,,47,0,TRUE,Not Healthy,Bad,,
183,1,0,10,0.7,TRUE,Healthy,Bad,,
99,1,0,5,0,FALSE,Healthy,Bad,,
140,1,0,10,0,TRUE,Healthy,Bad,,
149,5,3,26,0,TRUE,Not Healthy,Bad,,
131,,,32,0.3,FALSE,Not Healthy,Bad,,
0,0,0,0,0,FALSE,Healthy,Bad,,
237,,,9,0.1,TRUE,Healthy,Bad,,
246,,,6,0.1,TRUE,Healthy,Bad,,
3,,,0,0,FALSE,Healthy,Bad,,
3,,0,0,0,FALSE,Healthy,Bad,,
5,,,1,0,FALSE,Healthy,Bad,,
101,5,6,7,0,FALSE,Healthy,Bad,,
13,,,3,0.8,FALSE,Healthy,Bad,,
110,,0,28,0,FALSE,Not Healthy,Bad,,
3,,0,,0,FALSE,Healthy,Bad,,
107,0,0,28,0,FALSE,Not Healthy,Bad,,
3,0,,1,0,FALSE,Healthy,Bad,,
102,0,,26,0,FALSE,Not Healthy,Bad,,
102,0,,26,0,FALSE,Not Healthy,Bad,,
123,0,0,33,0,FALSE,Not Healthy,Bad,,
88,0,0,23,0,FALSE,Not Healthy,Bad,,
211,2,9,28,0,TRUE,Not Healthy,Bad,,
127,3,1,27,0,FALSE,Not Healthy,Bad,,
127,3,2,26,0,FALSE,Not Healthy,Bad,,
91,0,0,23,0,FALSE,Not Healthy,Bad,,
93,,,23,0,FALSE,Not Healthy,Bad,,
105,,,27,0.2,FALSE,Not Healthy,Bad,,
104,0,0,27,0,FALSE,Not Healthy,Bad,,
172,1,8,11,0,TRUE,Healthy,Bad,,
113,,,29,0.3,FALSE,Not Healthy,Bad,,
0,0,0,,0,FALSE,Healthy,Bad,,
134,0,,34,0,FALSE,Not Healthy,Bad,,
135,0,0,34,0,TRUE,Not Healthy,Bad,,
126,0,0,32,0,FALSE,Not Healthy,Bad,,
87,,,12,0.1,FALSE,Healthy,Bad,,
109,0,0,0,0,FALSE,Healthy,Bad,,
29,0,0,8,0,FALSE,Healthy,Bad,,
67,0,,16,0,FALSE,Healthy,Bad,,
3,0,,1,0,FALSE,Healthy,Bad,,
3,0,,1,0,FALSE,Healthy,Bad,,
124,0,0,32,0,FALSE,Not Healthy,Bad,,
220,,1,33,0.3,TRUE,Not Healthy,Bad,,
0,0,0,0,0,FALSE,Healthy,Bad,,
0,0,0,0,0,FALSE,Healthy,Bad,,
203,,0,17,0,TRUE,Healthy,Bad,,
90,,0,2,0,FALSE,Healthy,Bad,,
85,,0,1,0,FALSE,Healthy,Bad,,
